Country,year,YearlyAvgTemp
Brazil,1832,19.142958333333333
Brazil,1833,19.80895652173913
Brazil,1834,19.519826086956524
Brazil,1835,18.930652173913046
Brazil,1836,19.140916666666666
Brazil,1837,18.729458333333334
Brazil,1838,18.92721739130435
Brazil,1839,18.943
Brazil,1840,19.39225
Brazil,1841,19.00536363636364
Brazil,1842,19.5735
Brazil,1843,19.700458333333334
Brazil,1851,19.652874999999998
Brazil,1852,19.705208333333335
Brazil,1853,19.702458333333333
Brazil,1854,19.833708333333334
Brazil,1855,19.781458333333333
Brazil,1856,19.257347826086956
Brazil,1857,19.609304347826086
Brazil,1858,19.160478260869567
Brazil,1859,19.77204347826087
Brazil,1860,19.68691666666667
Brazil,1861,19.3255
Brazil,1862,19.27825
Brazil,1863,19.269000000000002
Brazil,1864,19.376333333333335
Brazil,1865,19.534541666666666
Brazil,1866,19.71808695652174
Brazil,1867,19.608333333333334
Brazil,1868,20.167083333333334
Brazil,1869,20.152652173913044
Brazil,1870,20.005541666666666
Brazil,1871,19.66929166666667
Brazil,1872,19.765583333333336
Brazil,1873,19.985125
Brazil,1874,19.362956521739132
Brazil,1875,18.991
Brazil,1876,19.347916666666666
Brazil,1877,20.185833333333335
Brazil,1878,20.00883333333333
Brazil,1879,19.245416666666667
Brazil,1880,19.667083333333334
Brazil,1881,19.585666666666665
Brazil,1882,19.103875000000002
Brazil,1883,19.281958333333336
Brazil,1884,19.260125
Brazil,1885,19.650458333333333
Brazil,1886,19.16754166666667
Brazil,1887,19.521083333333333
Brazil,1888,19.961916666666667
Brazil,1889,19.91175
Brazil,1890,19.29475
Brazil,1891,19.682125000000003
Brazil,1892,19.469291666666667
Brazil,1893,19.2174347826087
Brazil,1894,19.580250000000003
Brazil,1895,19.828416666666666
Brazil,1896,19.974166666666665
Brazil,1897,19.8295
Brazil,1898,19.580125000000002
Brazil,1899,19.916454545454545
Brazil,1900,20.2535
Brazil,1901,19.804333333333336
Brazil,1902,20.158416666666668
Brazil,1903,19.913833333333333
Brazil,1904,19.166416666666667
Brazil,1905,19.901666666666667
Brazil,1906,19.973958333333332
Brazil,1907,19.568583333333333
Brazil,1908,19.626
Brazil,1909,19.368666666666666
Brazil,1910,19.509521739130435
Brazil,1911,19.220083333333335
Brazil,1912,19.622625000000003
Brazil,1913,20.061333333333334
Brazil,1914,20.370166666666666
Brazil,1915,20.51518181818182
Brazil,1916,19.55308695652174
Brazil,1917,19.108208333333334
Brazil,1918,19.46334782608696
Brazil,1919,20.122125
Brazil,1920,19.680695652173913
Brazil,1921,19.44995652173913
Brazil,1922,19.915875000000003
Brazil,1923,19.686333333333334
Brazil,1924,19.181260869565218
Brazil,1925,19.827875000000002
Brazil,1926,20.41154166666667
Brazil,1927,20.05275
Brazil,1928,20.13082608695652
Brazil,1929,19.94725
Brazil,1930,20.09604347826087
Brazil,1931,19.78654166666667
Brazil,1932,20.44425
Brazil,1933,19.823208333333334
Brazil,1934,20.073208333333334
Brazil,1935,20.11766666666667
Brazil,1936,20.210652173913044
Brazil,1937,19.970000000000002
Brazil,1938,20.065833333333334
Brazil,1939,20.618695652173916
Brazil,1940,20.371791666666667
Brazil,1941,20.129125
Brazil,1942,19.841125
Brazil,1943,19.889875
Brazil,1944,20.249666666666666
Brazil,1945,20.024208333333334
Brazil,1946,20.162791666666667
Brazil,1947,19.831916666666668
Brazil,1948,20.079333333333334
Brazil,1949,20.12373913043478
Brazil,1950,19.91325
Brazil,1951,20.12117391304348
Brazil,1952,20.113708333333335
Brazil,1953,20.24325
Brazil,1954,20.215041666666668
Brazil,1955,19.852875
Brazil,1956,19.478333333333335
Brazil,1957,20.012583333333335
Brazil,1958,20.406541666666666
Brazil,1959,20.497375
Brazil,1960,19.995166666666666
Brazil,1961,20.656625000000002
Brazil,1962,19.792625
Brazil,1963,20.87626086956522
Brazil,1964,19.661833333333334
Brazil,1965,20.200083333333335
Brazil,1966,20.026875
Brazil,1967,20.343041666666668
Brazil,1968,19.835958333333334
Brazil,1969,20.385166666666667
Brazil,1970,20.406958333333332
Brazil,1971,19.892652173913042
Brazil,1972,20.38325
Brazil,1973,20.562124999999998
Brazil,1974,20.081333333333333
Brazil,1975,20.07945833333333
Brazil,1976,19.71278260869565
Brazil,1977,20.818375
Brazil,1978,20.143958333333334
Brazil,1979,19.793608695652175
Brazil,1980,20.427291666666665
Brazil,1981,20.27675
Brazil,1982,20.601625000000002
Brazil,1983,20.28216666666667
Brazil,1984,20.483
Brazil,1985,20.521916666666666
Brazil,1986,20.632521739130436
Brazil,1987,20.57766666666667
Brazil,1988,20.10825
Brazil,1989,20.47159090909091
Brazil,1990,20.69578260869565
Brazil,1991,20.53729166666667
Brazil,1992,20.28025
Brazil,1993,20.433913043478263
Brazil,1994,20.852625
Brazil,1995,20.676791666666666
Brazil,1996,20.541625
Brazil,1997,20.655782608695652
Brazil,1998,20.73891304347826
Brazil,1999,20.446208333333335
Brazil,2000,20.776
Brazil,2001,21.147833333333335
Brazil,2002,21.330458333333333
Brazil,2003,20.910416666666666
Brazil,2004,20.57930434782609
Brazil,2005,21.00004347826087
